Name,X10_Chronic_KO_1_RNA,X11_Chronic_KO_2_RNA,X12_Chronic_KO_3_RNA,X1_Acute_Control_1_RNA,X2_Acute_Control_2_RNA,X3_Acute_Control_3_RNA,X4_Acute_KO_1_RNA,X5_Acute_KO_2_RNA,X6_Acute_KO_3_RNA,X7_Chronic_Control_1_RNA,X8_Chronic_Control_2_RNA,X9_Chronic_Control_3_RNA
ENSMUSG00000027465, 5.82918, 5.77247, 6.30684, 5.80564, 5.85194, 5.84161, 5.95910, 5.86961, 6.12175, 5.56955, 5.59282, 5.90781
ENSMUSG00000028647, 3.73713, 3.82511, 3.25594, 3.33355, 3.37421, 3.56967, 3.46102, 3.69508, 3.80710, 3.72501, 3.68519, 3.58317
ENSMUSG00000020368, 7.44491, 7.47562, 8.14405, 8.16067, 8.25818, 8.58220, 8.32895, 7.32545, 7.46397, 7.51185, 7.50831, 7.57382
ENSMUSG00000028542, 4.38815, 4.39362, 4.16427, 4.61378, 4.49529, 4.01779, 4.06126, 4.08163, 3.86164, 5.01477, 5.06791, 4.10213
ENSMUSG00000056211, 5.57481, 5.69555, 7.01023, 4.66941, 4.82635, 5.22887, 6.24573, 5.87667, 6.11683, 4.77081, 4.71227, 5.44577
ENSMUSG00000059751,-1.15098,-1.85814,-2.00273,-2.13388,-1.99313,-2.17551,-2.54107,-1.90745,-1.97063,-1.42161,-1.49507,-3.07999
ENSMUSG00000037499, 4.73030, 4.70368, 4.66660, 4.35466, 4.29671, 4.08133, 4.20911, 4.48688, 4.64759, 4.29044, 4.47744, 4.14780
ENSMUSG00000108954,-0.70721,-0.90554,-1.81009,-3.50902,-2.72564,-5.80927,-2.67653, 0.93508,-1.08658,-2.22879,-1.88613,-1.14239
ENSMUSG00000023473,-1.54710,-0.95279,-0.22517,-3.82959,-5.80927,-3.28437,-1.55133,-1.54332,-0.54243,-5.80927,-4.06010,-3.56008
ENSMUSG00000116504, 4.16720, 4.21808, 4.70062, 3.99174, 4.17418, 4.36397, 4.09805, 4.37560, 4.47359, 4.26799, 4.25683, 5.63161
ENSMUSG00000098374, 2.48184, 2.50065, 2.32941, 3.02782, 3.00936, 2.97960, 3.13159, 0.64857, 1.87333, 2.35578, 1.59891, 2.37565
ENSMUSG00000002416, 5.16865, 5.15189, 4.57571, 5.10391, 5.04169, 4.89647, 4.77019, 4.86484, 4.95307, 5.14367, 5.21912, 4.76551
ENSMUSG00000079808,-1.15098,-2.05031,-2.10964,-0.37637,-0.26086,-0.59434,-1.42666,-2.39570,-2.09808,-1.90694,-1.88613,-3.30015
ENSMUSG00000033991, 3.79258, 3.72358, 3.92963, 3.77094, 3.81961, 3.96549, 4.00010, 3.43159, 3.55506, 3.56955, 3.44690, 2.96361
ENSMUSG00000054027, 4.07148, 4.04248, 3.97939, 4.46395, 4.54662, 4.66240, 4.56307, 3.98732, 4.36299, 4.06236, 3.97519, 3.68993
ENSMUSG00000052353,-3.79798,-5.80927,-5.80927, 0.04669,-0.61874,-1.55601,-3.18151,-3.13925,-5.80927,-0.14164, 0.25953,-5.80927
ENSMUSG00000098692,-1.79517,-1.46661,-1.05523,-2.13388,-5.80927,-2.06900,-1.61796,-1.62610,-1.29989,-1.90694,-1.88613,-2.88902
ENSMUSG00000095079,-4.80173,-2.05031,-3.80993,-5.80927,-5.80927,-5.80927,-5.80927,-5.80927,-5.80927,-1.35450,-0.93449,-3.87735
ENSMUSG00000046733,-1.62514,-0.90554,-2.10964,-3.24690,-2.19855,-1.29359,-1.76121,-2.91450,-2.39273,-4.81171,-4.06010,-3.56008
ENSMUSG00000078377, 4.20575, 4.20872, 4.47062, 4.05387, 3.22531, 3.18189, 3.58467, 3.85623, 3.78920, 3.68569, 4.35955, 3.45472
ENSMUSG00000120424,-1.79517,-1.95103,-1.90320,-3.02516,-2.31339,-1.78982,-2.19754,-1.18850,-2.39273,-1.64396,-1.33323,-1.50397
ENSMUSG00000023919, 4.05281, 4.00124, 4.62030, 3.92350, 4.10180, 4.13663, 3.99871, 3.57976, 3.65974, 3.92056, 4.09736, 3.98349
ENSMUSG00000022900,-0.66538,-0.85979,-0.31828, 0.65574, 0.53737, 0.95190,-0.18421,-0.75676,-0.68526, 0.75575, 0.42707, 0.78664
ENSMUSG00000032739,-0.06660,-4.83513,-5.80927, 0.59016, 0.58625, 0.59492,-5.80927, 0.01828,-2.99193, 2.38061, 2.04410, 2.65789
ENSMUSG00000052291, 0.13626, 0.13938,-0.48820,-0.51381,-1.31757,-1.48580,-0.62336, 0.35683,-0.33192, 0.59529, 0.15427,-0.31385
ENSMUSG00000018012,-0.62473,-1.05220,-0.10969,-3.02516,-2.31339,-2.41548,-0.28888,-1.06786,-0.49780,-3.49125,-1.05555,-1.57413
ENSMUSG00000020262, 2.78315, 3.07823, 1.83371, 0.02203,-0.35000,-0.67019, 2.41835, 2.58191, 1.89859, 1.83692, 1.92915, 1.78618
ENSMUSG00000020671, 6.98363, 6.98483, 7.09956, 6.99963, 6.96942, 6.99642, 7.01819, 7.04625, 7.03356, 7.05254, 7.13720, 7.07687
ENSMUSG00000054901,-3.21177,-4.25889,-4.80971,-1.74735,-1.73121,-1.48580,-4.36202,-2.72009,-3.26358,-2.49174,-1.88613,-3.56008
ENSMUSG00000032202, 7.33069, 7.32946, 7.68208, 7.12973, 7.19280, 7.72245, 7.63176, 7.30657, 7.85596, 7.17577, 7.14388, 7.62793
ENSMUSG00000057244,-1.15098,-1.15897,-0.72266,-1.51312,-0.85928,-1.41884,-1.92028,-2.01491,-1.37863,-0.90711,-1.33323,-1.64789
ENSMUSG00000042851, 3.84418, 3.81985, 4.09674, 3.18600, 3.19936, 3.42225, 3.18874, 4.42012, 4.60857, 3.75949, 3.63227, 4.02413
ENSMUSG00000030748, 7.17569, 7.19553, 7.02195, 7.55617, 7.50625, 7.66538, 7.94127, 7.96805, 7.98833, 6.83442, 6.83456, 6.89365
ENSMUSG00000079597, 6.64143, 6.31816, 6.20422, 5.54026, 5.89258, 6.15180, 5.99158, 6.25869, 7.04562, 6.64937, 6.94224, 6.08224
ENSMUSG00000121153,-0.98742,-2.27207,-1.22515,-3.02516,-3.30506,-3.28437,-2.99286,-0.28381,-2.09808,-1.49199,-0.93449,-0.94354
ENSMUSG00000120686,-3.21177,-2.15693,-1.10968,-1.92771,-3.88174,-3.86321,-3.18151,-2.54880,-1.22523,-4.22757,-4.06010,-2.30796
ENSMUSG00000087120, 0.03839,-0.30574,-0.45258,-0.79120,-0.99648,-1.02111,-0.92694, 0.09781,-0.58849, 1.12840, 0.53584, 0.75837
ENSMUSG00000021418, 2.69356, 2.66617, 1.24514, 2.67145, 3.02126, 2.44950, 2.13957, 2.35254, 2.46443, 3.63912, 3.74532, 2.74692
ENSMUSG00000121318, 0.35530, 0.47905, 0.78977,-1.25032,-2.31339,-0.23631,-0.69348,-0.80417, 0.10425,-1.35450,-1.33323,-0.04117
ENSMUSG00000036452, 3.32208, 3.33093, 3.79348, 4.71242, 4.64312, 4.77214, 4.56213, 4.05531, 4.00229, 2.98998, 2.72903, 3.91791
ENSMUSG00000092060, 3.80380, 3.94918, 5.12207, 3.03400, 2.80776, 3.07851, 4.16149, 3.69081, 3.85520, 2.64529, 2.74271, 2.84764
