Name,Label,Length,EffectiveLength,6_Acute_KO_3,5_Acute_KO_2,9_Chronic_Control_3,3_Acute_Control_3,2_Acute_Control_2,10_Chronic_KO_1,4_Acute_KO_1,1_Acute_Control_1,7_Chronic_Control_1,11_Chronic_KO_2,12_Chronic_KO_3,8_Chronic_Control_2
ENSMUSG00000110218,Tincr,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSMUSG00000068270,Shroom4,NA,NA,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0
ENSMUSG00000038777,Sema6c,NA,NA,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,5.0,3.001,14.0,0.0
ENSMUSG00000028483,Snapc3,NA,NA,103.0,132.0,64.0,97.0,127.0,126.0,137.0,127.0,132.0,103.0,53.0,68.0
ENSMUSG00000075221,Or5ak22,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000030035,Wbp1,NA,NA,2.0,4.0,3.0,5.0,7.0,5.0,7.0,3.0,7.0,13.0,21.0,2.0
ENSMUSG00000032803,Cdv3,NA,NA,96.0,85.0,48.0,66.0,85.0,144.0,139.0,71.0,144.0,127.0,89.0,61.0
ENSMUSG00000019969,Psen1,NA,NA,245.0,261.0,237.0,310.0,514.0,194.0,223.0,476.0,172.0,211.0,127.0,113.0
ENSMUSG00000031952,Chst5,NA,NA,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSMUSG00000020523,Fam114a2,NA,NA,156.0,221.0,255.0,246.0,294.0,148.0,179.0,241.0,193.0,162.0,113.0,96.0
ENSMUSG00000030022,Adamts9,NA,NA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0
ENSMUSG00000023931,Efhb,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029516,Cit,NA,NA,343.0,256.0,136.0,269.866,276.0,586.0,524.991,233.0,359.0,424.001,325.0,289.0
ENSMUSG00000024477,Pggt1b,NA,NA,415.0,316.0,206.0,268.0,422.0,413.001,429.0,420.0,395.0,344.0,219.0,288.0
ENSMUSG00000091205,Vmn2r71,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000031730,Dhodh,NA,NA,178.0,166.0,86.0,151.0,255.0,228.0,181.0,213.0,142.0,158.0,111.0,101.0
ENSMUSG00000046079,Lrrc8d,NA,NA,95.0,121.0,30.0,69.0,99.0,60.0,30.0,93.0,24.0,36.0,31.0,11.0
ENSMUSG00000027430,Dtd1,NA,NA,144.0,127.0,69.0,70.0,104.0,211.0,144.0,98.0,166.0,160.0,79.0,99.0
ENSMUSG00000029470,P2rx4,NA,NA,3.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0
ENSMUSG00000014748,Tex261,NA,NA,12.0,22.0,14.0,18.0,27.0,60.0,67.0,17.0,67.0,82.0,78.0,41.0
ENSMUSG00000044927,H1f10,NA,NA,30.0,115.0,15.0,3.0,8.0,33.0,34.0,3.0,27.182,43.849,22.0,21.0
ENSMUSG00000032093,Cd3e,NA,NA,1112.0,1073.0,1402.0,1341.0,2259.0,1656.0,1561.0,1782.0,1466.0,1592.0,1039.0,983.0
ENSMUSG00000040690,Col16a1,NA,NA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000078144,Capns2,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000048497,Mmgt2,NA,NA,35.0,69.0,39.0,33.0,78.0,41.0,71.0,51.0,66.0,34.0,21.0,37.0
ENSMUSG00000046204,Pnma2,NA,NA,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
ENSMUSG00000002847,Pla1a,NA,NA,25.0,7.0,3.0,0.0,2.0,20.0,0.0,1.0,0.0,10.0,0.0,1.0
ENSMUSG00000016534,Lamp2,NA,NA,164.0,251.0,174.0,199.0,315.0,406.0,514.0,321.0,544.0,332.0,258.0,236.0
ENSMUSG00000031217,Efnb1,NA,NA,13.0,4.0,2.0,4.0,6.0,3.0,0.0,4.0,5.0,1.0,0.0,0.0
ENSMUSG00000017057,Il13ra1,NA,NA,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,1.0
ENSMUSG00000018965,Ywhah,NA,NA,1104.042,963.867,795.448,1368.089,1868.601,637.986,818.439,1511.557,912.167,611.963,357.796,446.051
ENSMUSG00000048031,Fcrl5,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000089717,Or13f5,NA,NA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000003680,Taf6l,NA,NA,111.0,87.0,64.0,108.0,163.0,79.0,55.0,126.0,61.0,67.0,72.0,32.0
ENSMUSG00000100642,Gm28230,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000055737,Ghr,NA,NA,1.0,3.0,0.0,0.0,0.0,3.0,10.0,0.0,3.0,4.0,4.0,4.0
ENSMUSG00000027935,Rab13,NA,NA,1.0,19.0,0.0,1.0,3.0,1.205,0.0,1.0,5.0,0.0,3.0,2.0
ENSMUSG00000068748,Ptprz1,NA,NA,2.0,6.0,3.0,1.0,2.0,5.0,4.0,4.0,7.0,4.0,4.0,1.0
ENSMUSG00000025185,Loxl4,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
ENSMUSG00000037938,Chchd5,NA,NA,97.0,96.0,61.0,87.0,114.0,122.0,100.0,78.0,135.0,69.0,57.0,68.0
ENSMUSG00000001418,Glmp,NA,NA,768.0,686.001,568.0,743.0,1139.0,995.0,920.0,964.0,846.0,785.0,567.001,599.0
ENSMUSG00000073877,Ccl27al,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,15.832,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000002733,Plekha3,NA,NA,9.0,13.0,10.0,4.0,11.0,6.0,6.0,7.0,4.0,4.0,1.0,0.0
ENSMUSG00000023940,Sgo1,NA,NA,27.0,37.0,14.0,16.0,14.0,33.0,36.0,11.0,18.0,28.0,22.0,12.0
ENSMUSG00000027984,Hadh,NA,NA,224.0,187.0,190.0,206.0,292.0,512.0,495.0,238.0,597.0,398.0,263.834,284.0
ENSMUSG00000024308,Tapbp,NA,NA,2369.0,1638.001,2220.0,2201.0,4568.0,4848.0,3774.0,3430.0,3823.0,4463.0,2934.0,3539.0
ENSMUSG00000037573,Tob1,NA,NA,53.0,73.0,50.0,77.0,83.0,59.0,47.0,64.457,44.0,43.0,54.0,22.0
ENSMUSG00000071172,Srsf3,NA,NA,4095.007,4424.004,904.0,1773.003,4095.002,4856.0,3771.0,3397.0,2514.002,2692.0,1763.0,2246.0
ENSMUSG00000026437,Cdk18,NA,NA,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
ENSMUSG00000041328,Pcf11,NA,NA,158.0,173.0,154.0,259.0,216.0,232.0,375.0,195.0,239.998,182.0,183.0,107.0
ENSMUSG00000007440,Pcdha10,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.003,0.0
ENSMUSG00000017670,Elmo2,NA,NA,678.0,643.768,380.0,961.228,1321.251,632.488,776.002,1245.004,787.003,409.002,316.472,409.0
ENSMUSG00000040669,Phc1,NA,NA,21.0,36.344,18.0,24.099,13.111,49.536,32.115,10.11,23.258,18.119,29.0,16.321
ENSMUSG00000020019,Ntn4,NA,NA,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000021643,Serf1,NA,NA,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0
ENSMUSG00000018042,Cyb5r3,NA,NA,255.0,230.999,226.0,292.0,322.0,259.0,252.0,230.0,305.0,210.0,174.0,187.0
ENSMUSG00000031734,Irx3,NA,NA,7.0,7.0,8.0,7.0,7.0,8.0,3.0,3.0,3.375,10.0,9.0,13.0
ENSMUSG00000039615,Stub1,NA,NA,64.0,69.0,64.0,79.0,78.0,34.0,36.0,76.0,61.0,56.0,40.0,24.0
ENSMUSG00000019772,Vip,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000048919,Or2aa1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000094220,Trav6-3,NA,NA,16.562,7.627,17.646,19.715,24.358,27.55,26.127,17.055,18.778,23.854,0.0,0.0
ENSMUSG00000031233,Pgk2,NA,NA,1.0,4.002,1.0,2.0,0.0,1.0,6.001,0.0,2.0,1.0,1.0,2.0
ENSMUSG00000010755,Cars1,NA,NA,1119.0,1099.0,883.0,1260.0,1335.0,854.0,1137.0,1321.0,859.0,732.0,554.0,535.0
ENSMUSG00000042816,Gpr151,NA,NA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000100186,Taar8b,NA,NA,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0
ENSMUSG00000058725,Gm11937,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000048376,F2r,NA,NA,652.0,590.0,1000.0,922.0,1515.0,1018.0,826.0,1329.0,1133.0,813.0,575.0,594.0
ENSMUSG00000010086,Rnf112,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000022472,Desi1,NA,NA,68.0,76.0,70.0,63.0,60.0,84.0,55.0,60.0,140.0,81.0,69.0,30.0
ENSMUSG00000039145,Camk1d,NA,NA,34.0,34.0,23.0,35.0,42.0,25.0,29.0,36.0,34.0,12.0,17.0,13.0
ENSMUSG00000036557,Stpg4,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000049674,Or10a2,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000121520,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000050271,Prag1,NA,NA,300.0,240.0,112.0,468.0,618.0,232.0,217.0,555.0,157.429,171.0,96.0,126.0
ENSMUSG00000051509,Or6p1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000101073,Vmn1r200,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000022892,App,NA,NA,71.0,138.0,74.0,84.0,69.0,28.0,25.0,96.0,40.0,16.0,13.0,15.0
